Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-12-11,1583.92,1583.92,1583.92,1583.92,0,0,0
1998-12-14,1549.63,1549.63,1549.63,1549.63,0,0,0
1998-12-15,1579.02,1579.02,1579.02,1579.02,0,0,0
1998-12-16,1577.87,1577.87,1577.87,1577.87,0,0,0
1998-12-17,1602.47,1602.47,1602.47,1602.47,0,0,0
1998-12-18,1613.41,1613.41,1613.41,1613.41,0,0,0
1998-12-21,1633.56,1633.56,1633.56,1633.56,0,0,0
1998-12-22,1634.58,1634.58,1634.58,1634.58,0,0,0
1998-12-23,1668.5,1668.5,1668.5,1668.5,0,0,0
1998-12-24,1665.45,1665.45,1665.45,1665.45,0,0,0
1998-12-28,1664.39,1664.39,1664.39,1664.39,0,0,0
1998-12-29,1687.03,1687.03,1687.03,1687.03,0,0,0
1998-12-30,1673.66,1673.66,1673.66,1673.66,0,0,0
1998-12-31,1670.01,1670.01,1670.01,1670.01,0,0,0
1999-01-04,1668.52,1668.52,1668.52,1668.52,0,0,0
1999-01-05,1691.25,1691.25,1691.25,1691.25,0,0,0
1999-01-06,1729.08,1729.08,1729.08,1729.08,0,0,0
1999-01-07,1725.64,1725.64,1725.64,1725.64,0,0,0
1999-01-08,1732.93,1732.93,1732.93,1732.93,0,0,0
1999-01-11,1717.69,1717.69,1717.69,1717.69,0,0,0
1999-01-12,1684.57,1684.57,1684.57,1684.57,0,0,0
1999-01-13,1677.73,1677.73,1677.73,1677.73,0,0,0
1999-01-14,1647.57,1647.57,1647.57,1647.57,0,0,0
1999-01-15,1689.82,1689.82,1689.82,1689.82,0,0,0
1999-01-19,1701.71,1701.71,1701.71,1701.71,0,0,0
1999-01-20,1708.09,1708.09,1708.09,1708.09,0,0,0
1999-01-21,1678.93,1678.93,1678.93,1678.93,0,0,0
1999-01-22,1665.39,1665.39,1665.39,1665.39,0,0,0
1999-01-25,1677.34,1677.34,1677.34,1677.34,0,0,0
1999-01-26,1702.26,1702.26,1702.26,1702.26,0,0,0
1999-01-27,1690.08,1690.08,1690.08,1690.08,0,0,0
1999-01-28,1720.44,1720.44,1720.44,1720.44,0,0,0
1999-01-29,1739.84,1739.84,1739.84,1739.84,0,0,0
1999-02-01,1730.81,1730.81,1730.81,1730.81,0,0,0
1999-02-02,1715.91,1715.91,1715.91,1715.91,0,0,0
1999-02-03,1729.84,1729.84,1729.84,1729.84,0,0,0
1999-02-04,1697.91,1697.91,1697.91,1697.91,0,0,0
1999-02-05,1685.58,1685.58,1685.58,1685.58,0,0,0
1999-02-08,1691.8,1691.8,1691.8,1691.8,0,0,0
1999-02-09,1654.24,1654.24,1654.24,1654.24,0,0,0
1999-02-10,1664.64,1664.64,1664.64,1664.64,0,0,0
1999-02-11,1706.25,1706.25,1706.25,1706.25,0,0,0
1999-02-12,1673.77,1673.77,1673.77,1673.77,0,0,0
1999-02-16,1689.75,1689.75,1689.75,1689.75,0,0,0
1999-02-17,1665.68,1665.68,1665.68,1665.68,0,0,0
1999-02-18,1683.84,1683.84,1683.84,1683.84,0,0,0
1999-02-19,1686.48,1686.48,1686.48,1686.48,0,0,0
1999-02-22,1731.32,1731.32,1731.32,1731.32,0,0,0
1999-02-23,1730.05,1730.05,1730.05,1730.05,0,0,0
1999-02-24,1706.03,1706.03,1706.03,1706.03,0,0,0
1999-02-25,1694.83,1694.83,1694.83,1694.83,0,0,0
1999-02-26,1685.77,1685.77,1685.77,1685.77,0,0,0
1999-03-01,1682.86,1682.86,1682.86,1682.86,0,0,0
1999-03-02,1668.37,1668.37,1668.37,1668.37,0,0,0
1999-03-03,1671.74,1671.74,1671.74,1671.74,0,0,0
1999-03-04,1697.76,1697.76,1697.76,1697.76,0,0,0
1999-03-05,1737.05,1737.05,1737.05,1737.05,0,0,0
1999-03-08,1747.04,1747.04,1747.04,1747.04,0,0,0
1999-03-09,1743.11,1743.11,1743.11,1743.11,0,0,0
1999-03-10,1752.75,1752.75,1752.75,1752.75,0,0,0
1999-03-11,1767.93,1767.93,1767.93,1767.93,0,0,0
1999-03-12,1763.74,1763.74,1763.74,1763.74,0,0,0
1999-03-15,1781.02,1781.02,1781.02,1781.02,0,0,0
1999-03-16,1779.84,1779.84,1779.84,1779.84,0,0,0
1999-03-17,1768.27,1768.27,1768.27,1768.27,0,0,0
1999-03-18,1793.85,1793.85,1793.85,1793.85,0,0,0
1999-03-19,1770.34,1770.34,1770.34,1770.34,0,0,0
1999-03-22,1767.26,1767.26,1767.26,1767.26,0,0,0
1999-03-23,1719.76,1719.76,1719.76,1719.76,0,0,0
1999-03-24,1728.57,1728.57,1728.57,1728.57,0,0,0
1999-03-25,1757.75,1757.75,1757.75,1757.75,0,0,0
1999-03-26,1747.95,1747.95,1747.95,1747.95,0,0,0
1999-03-29,1785.5,1785.5,1785.5,1785.5,0,0,0
1999-03-30,1772.79,1772.79,1772.79,1772.79,0,0,0
1999-03-31,1753.21,1753.21,1753.21,1753.21,0,0,0
1999-04-01,1763.31,1763.31,1763.31,1763.31,0,0,0
1999-04-05,1800.67,1800.67,1800.67,1800.67,0,0,0
1999-04-06,1796.34,1796.34,1796.34,1796.34,0,0,0
1999-04-07,1808.97,1808.97,1808.97,1808.97,0,0,0
1999-04-08,1832.34,1832.34,1832.34,1832.34,0,0,0
1999-04-09,1838.3,1838.3,1838.3,1838.3,0,0,0
1999-04-12,1852.35,1852.35,1852.35,1852.35,0,0,0
1999-04-13,1840.4,1840.4,1840.4,1840.4,0,0,0
1999-04-14,1811.29,1811.29,1811.29,1811.29,0,0,0
1999-04-15,1803.68,1803.68,1803.68,1803.68,0,0,0
1999-04-16,1798.42,1798.42,1798.42,1798.42,0,0,0
1999-04-19,1758.19,1758.19,1758.19,1758.19,0,0,0
1999-04-20,1780.94,1780.94,1780.94,1780.94,0,0,0
1999-04-21,1821.88,1821.88,1821.88,1821.88,0,0,0
1999-04-22,1852.86,1852.86,1852.86,1852.86,0,0,0
